"V1","V2","V3","V4","V5","V6","V7"
"hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"0","2","0","2","-1.41421356237309","-1.41421356237309","0"
"2","0","2","0","1.41421356237309","1.41421356237309","0"
"0","2","0","2.82842712474619","-1.41421356237309","-2","-0.414213562373095"
"Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds"
"4.89897948556636","2","2","0","2.04988805276466","0","2.44948974278318"
"2","2","0","2","0","0","0"
"2","0","2","3.46410161513775","0","0","-1.73205080756888"
"0","2","3.46410161513775","0","0","2.44948974278318","0"
"2","3.46410161513775","0","4.47213595499958","0","-3.16227766016838","0"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2.44948974278318","0","-2.95350691271409"
"0","4.47213595499958","4.89897948556636","2","-3.16227766016838","2.04988805276466","0"
"4.47213595499958","4.89897948556636","2","0","0","0","3.68555772028297"
"4.89897948556636","2","0","3.46410161513775","2.04988805276466","-2.44948974278318","1.7174389352143"
"2","0","3.46410161513775","6","0","-1.79315094433611","-3.73205080756888"
"0","3.46410161513775","6","3.46410161513775","-2.44948974278318","1.79315094433611","-3"
"3.46410161513775","6","3.46410161513775","2.82842712474619","-1.79315094433611","0","0"
"6","3.46410161513775","2.82842712474619","3.46410161513775","1.79315094433611","0","0"
"3.46410161513775","2.82842712474619","3.46410161513775","0","0","2.44948974278318","0"
"2.82842712474619","3.46410161513775","0","2.82842712474619","0","-2","1.73205080756888"
"3.46410161513775","0","2.82842712474619","4","2.44948974278318","0","-1.68216275480422"
"0","2.82842712474619","4","0","-2","2.82842712474619","0"
"2.82842712474619","4","0","0","0","0","3.41421356237309"
"4","0","0","0","2.82842712474619","0","2"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2.82842712474619","0","-2","0"
"0","0","2.82842712474619","0","0","2","0"
"0","2.82842712474619","0","0","-2","0","0"
"2.82842712474619","0","0","2.82842712474619","2","-2","0"
"0","0","2.82842712474619","3.46410161513775","0","0","-3.14626436994197"
"0","2.82842712474619","3.46410161513775","6.6332495807108","-2","-2.24092601704025","-3.63446203555118"
"2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","0","0","-2.40642839791322"
"3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","-2.24092601704025","0","0"
"6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","0","0","2.40642839791322"
"4.47213595499958","3.46410161513775","2.82842712474619","4","0","0","0"
"3.46410161513775","2.82842712474619","4","2.82842712474619","0","0","0"
"2.82842712474619","4","2.82842712474619","0","0","2","2"
"4","2.82842712474619","0","2","0","0","2.41421356237309"
"2.82842712474619","0","2","2.82842712474619","2","0","0"
"0","2","2.82842712474619","0","0","2","0"
"2","2.82842712474619","0","2","0","0","0"
"2.82842712474619","0","2","3.46410161513775","2","0","0"
"0","2","3.46410161513775","0","0","2.44948974278318","0"
"2","3.46410161513775","0","2","0","0","1.73205080756888"
"3.46410161513775","0","2","4.89897948556636","2.44948974278318","-2.04988805276466","-1.7174389352143"
"0","2","4.89897948556636","2.82842712474619","0","0","-2.86370330515627"
"2","4.89897948556636","2.82842712474619","0","-2.04988805276466","2","2.03527618041008"
"4.89897948556636","2.82842712474619","0","4.47213595499958","0","-3.16227766016838","0"
"2.82842712474619","0","4.47213595499958","6.32455532033676","2","0","-3.98413207529507"
"0","4.47213595499958","6.32455532033676","3.46410161513775","-3.16227766016838","2.0226462122164","-2.65826049023747"
"4.47213595499958","6.32455532033676","3.46410161513775","3.46410161513775","0","0","1.93424402253041"
"6.32455532033676","3.46410161513775","3.46410161513775","2.82842712474619","2.0226462122164","0","1.74806409779528"
"3.46410161513775","3.46410161513775","2.82842712474619","2","0","0","0"
"3.46410161513775","2.82842712474619","2","0","0","0","2.14626436994197"
"2.82842712474619","2","0","3.46410161513775","0","-2.44948974278318","0"
"2","0","3.46410161513775","0","0","2.44948974278318","0"
"0","3.46410161513775","0","2.82842712474619","-2.44948974278318","-2","0"
"3.46410161513775","0","2.82842712474619","0","2.44948974278318","2","0"
"0","2.82842712474619","0","2","-2","0","0"
"2.82842712474619","0","2","0","2","0","0"
"0","2","0","2","0","0","0"
"2","0","2","0","0","0","0"
"0","2","0","2.82842712474619","0","-2","0"
"soft","soft","soft","soft","soft","soft","soft"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"4.89897948556636","2","2","0","4.87831517751085","1.41421356237309","4.44948974278318"
"2","2","0","2","2.82842712474619","1.41421356237309","3"
"2","0","2","3.46410161513775","1.41421356237309","3.86370330515627","3.73205080756888"
"0","2","3.46410161513775","0","1.41421356237309","2.44948974278318","2.73205080756888"
"2","3.46410161513775","0","4.47213595499958","3.86370330515627","3.16227766016838","4.96811878506867"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2.44948974278318","6.62637927530613","6.41760852785184"
"0","4.47213595499958","4.89897948556636","2","3.16227766016838","4.87831517751085","5.68555772028297"
"4.47213595499958","4.89897948556636","2","0","6.62637927530613","1.41421356237309","5.68555772028297"
"4.89897948556636","2","0","3.46410161513775","4.87831517751085","2.44948974278318","5.18154055035205"
"2","0","3.46410161513775","6","1.41421356237309","6.69213042990246","5.73205080756888"
"0","3.46410161513775","6","3.46410161513775","2.44948974278318","6.69213042990246","6.46410161513775"
"3.46410161513775","6","3.46410161513775","2.82842712474619","6.69213042990246","4.44948974278318","7.87831517751085"
"6","3.46410161513775","2.82842712474619","3.46410161513775","6.69213042990246","4.44948974278318","7.87831517751085"
"3.46410161513775","2.82842712474619","3.46410161513775","0","4.44948974278318","2.44948974278318","4.87831517751085"
"2.82842712474619","3.46410161513775","0","2.82842712474619","4.44948974278318","2","4.56047793231507"
"3.46410161513775","0","2.82842712474619","4","2.44948974278318","4.82842712474619","5.14626436994197"
"0","2.82842712474619","4","0","2","2.82842712474619","3.41421356237309"
"2.82842712474619","4","0","0","4.82842712474619","0","3.41421356237309"
"4","0","0","0","2.82842712474619","0","2"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2.82842712474619","0","2","1.41421356237309"
"0","0","2.82842712474619","0","0","2","1.41421356237309"
"0","2.82842712474619","0","0","2","0","1.41421356237309"
"2.82842712474619","0","0","2.82842712474619","2","2","2.82842712474619"
"0","0","2.82842712474619","3.46410161513775","0","4.44948974278318","3.14626436994197"
"0","2.82842712474619","3.46410161513775","6.6332495807108","2","7.13990550260661","6.46288916029737"
"2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","4.44948974278318","7.85269341999181","8.69895713779716"
"3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","7.13990550260661","5.61176740295156","9.01679438299294"
"6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","7.85269341999181","4.44948974278318","8.69895713779716"
"4.47213595499958","3.46410161513775","2.82842712474619","4","5.61176740295156","4.82842712474619","7.38233234744176"
"3.46410161513775","2.82842712474619","4","2.82842712474619","4.44948974278318","4.82842712474619","6.56047793231507"
"2.82842712474619","4","2.82842712474619","0","4.82842712474619","2","4.82842712474619"
"4","2.82842712474619","0","2","4.82842712474619","1.41421356237309","4.41421356237309"
"2.82842712474619","0","2","2.82842712474619","2","3.41421356237309","3.82842712474619"
"0","2","2.82842712474619","0","1.41421356237309","2","2.41421356237309"
"2","2.82842712474619","0","2","3.41421356237309","1.41421356237309","3.41421356237309"
"2.82842712474619","0","2","3.46410161513775","2","3.86370330515627","4.14626436994197"
"0","2","3.46410161513775","0","1.41421356237309","2.44948974278318","2.73205080756888"
"2","3.46410161513775","0","2","3.86370330515627","1.41421356237309","3.73205080756888"
"3.46410161513775","0","2","4.89897948556636","2.44948974278318","4.87831517751085","5.18154055035205"
"0","2","4.89897948556636","2.82842712474619","1.41421356237309","5.46410161513775","4.86370330515627"
"2","4.89897948556636","2.82842712474619","0","4.87831517751085","2","4.86370330515627"
"4.89897948556636","2.82842712474619","0","4.47213595499958","5.46410161513775","3.16227766016838","6.09977128265606"
"2.82842712474619","0","4.47213595499958","6.32455532033676","2","7.63441361516796","6.81255920004126"
"0","4.47213595499958","6.32455532033676","3.46410161513775","3.16227766016838","6.92162569778276","7.13039644523705"
"4.47213595499958","6.32455532033676","3.46410161513775","3.46410161513775","7.63441361516796","4.89897948556636","8.86244725280592"
"6.32455532033676","3.46410161513775","3.46410161513775","2.82842712474619","6.92162569778276","4.44948974278318","8.04059283767923"
"3.46410161513775","3.46410161513775","2.82842712474619","2","4.89897948556636","3.41421356237309","5.87831517751085"
"3.46410161513775","2.82842712474619","2","0","4.44948974278318","1.41421356237309","4.14626436994197"
"2.82842712474619","2","0","3.46410161513775","3.41421356237309","2.44948974278318","4.14626436994197"
"2","0","3.46410161513775","0","1.41421356237309","2.44948974278318","2.73205080756888"
"0","3.46410161513775","0","2.82842712474619","2.44948974278318","2","3.14626436994197"
"3.46410161513775","0","2.82842712474619","0","2.44948974278318","2","3.14626436994197"
"0","2.82842712474619","0","2","2","1.41421356237309","2.41421356237309"
"2.82842712474619","0","2","0","2","1.41421356237309","2.41421356237309"
"0","2","0","2","1.41421356237309","1.41421356237309","2"
"2","0","2","0","1.41421356237309","1.41421356237309","2"
"0","2","0","2.82842712474619","1.41421356237309","2","2.41421356237309"
"Ds","Ds","Ds","Ds","Ds","Ds","Ds"
"4.89897948556636","2","2","0","2.04988805276466","1.41421356237309","2.44948974278318"
"2","2","0","2","0","-1.41421356237309","1"
"2","0","2","3.46410161513775","1.41421356237309","-1.03527618041008","-1.73205080756888"
"0","2","3.46410161513775","0","-1.41421356237309","2.44948974278318","-0.732050807568877"
"2","3.46410161513775","0","4.47213595499958","-1.03527618041008","-3.16227766016838","0.495982830069087"
"3.46410161513775","0","4.47213595499958","4.89897948556636","2.44948974278318","-0.301823954969375","-2.95350691271409"
"0","4.47213595499958","4.89897948556636","2","-3.16227766016838","2.04988805276466","-1.21342176528339"
"4.47213595499958","4.89897948556636","2","0","-0.301823954969375","1.41421356237309","3.68555772028297"
"4.89897948556636","2","0","3.46410161513775","2.04988805276466","-2.44948974278318","1.7174389352143"
"2","0","3.46410161513775","6","1.41421356237309","-1.79315094433611","-3.73205080756888"
"0","3.46410161513775","6","3.46410161513775","-2.44948974278318","1.79315094433611","-3"
"3.46410161513775","6","3.46410161513775","2.82842712474619","-1.79315094433611","0.449489742783178","1.5857864376269"
"6","3.46410161513775","2.82842712474619","3.46410161513775","1.79315094433611","-0.449489742783178","1.5857864376269"
"3.46410161513775","2.82842712474619","3.46410161513775","0","0.449489742783178","2.44948974278318","1.41421356237309"
"2.82842712474619","3.46410161513775","0","2.82842712474619","-0.449489742783178","-2","1.73205080756888"
"3.46410161513775","0","2.82842712474619","4","2.44948974278318","-0.82842712474619","-1.68216275480422"
"0","2.82842712474619","4","0","-2","2.82842712474619","-0.585786437626905"
"2.82842712474619","4","0","0","-0.82842712474619","0","3.41421356237309"
"4","0","0","0","2.82842712474619","0","2"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2.82842712474619","0","-2","-1.41421356237309"
"0","0","2.82842712474619","0","0","2","-1.41421356237309"
"0","2.82842712474619","0","0","-2","0","1.41421356237309"
"2.82842712474619","0","0","2.82842712474619","2","-2","0"
"0","0","2.82842712474619","3.46410161513775","0","-0.449489742783178","-3.14626436994197"
"0","2.82842712474619","3.46410161513775","6.6332495807108","-2","-2.24092601704025","-3.63446203555118"
"2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","-0.449489742783178","1.52813809965505","-2.40642839791322"
"3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","-2.24092601704025","0.712787917385201","1.08055681285561"
"6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","1.52813809965505","0.449489742783178","2.40642839791322"
"4.47213595499958","3.46410161513775","2.82842712474619","4","0.712787917385201","-0.82842712474619","0.553905222695572"
"3.46410161513775","2.82842712474619","4","2.82842712474619","0.449489742783178","0.82842712474619","-0.267949192431123"
"2.82842712474619","4","2.82842712474619","0","-0.82842712474619","2","2"
"4","2.82842712474619","0","2","0.82842712474619","-1.41421356237309","2.41421356237309"
"2.82842712474619","0","2","2.82842712474619","2","-0.585786437626905","-1"
"0","2","2.82842712474619","0","-1.41421356237309","2","-0.414213562373095"
"2","2.82842712474619","0","2","-0.585786437626905","-1.41421356237309","1.41421356237309"
"2.82842712474619","0","2","3.46410161513775","2","-1.03527618041008","-1.31783724519578"
"0","2","3.46410161513775","0","-1.41421356237309","2.44948974278318","-0.732050807568877"
"2","3.46410161513775","0","2","-1.03527618041008","-1.41421356237309","1.73205080756888"
"3.46410161513775","0","2","4.89897948556636","2.44948974278318","-2.04988805276466","-1.7174389352143"
"0","2","4.89897948556636","2.82842712474619","-1.41421356237309","1.46410161513775","-2.86370330515627"
"2","4.89897948556636","2.82842712474619","0","-2.04988805276466","2","2.03527618041008"
"4.89897948556636","2.82842712474619","0","4.47213595499958","1.46410161513775","-3.16227766016838","1.62763532765648"
"2.82842712474619","0","4.47213595499958","6.32455532033676","2","-1.3098582948312","-3.98413207529507"
"0","4.47213595499958","6.32455532033676","3.46410161513775","-3.16227766016838","2.0226462122164","-2.65826049023747"
"4.47213595499958","6.32455532033676","3.46410161513775","3.46410161513775","-1.3098582948312","0","1.93424402253041"
"6.32455532033676","3.46410161513775","3.46410161513775","2.82842712474619","2.0226462122164","0.449489742783178","1.74806409779528"
"3.46410161513775","3.46410161513775","2.82842712474619","2","0","0.585786437626905","1.04988805276466"
"3.46410161513775","2.82842712474619","2","0","0.449489742783178","1.41421356237309","2.14626436994197"
"2.82842712474619","2","0","3.46410161513775","0.585786437626905","-2.44948974278318","0.682162754804217"
"2","0","3.46410161513775","0","1.41421356237309","2.44948974278318","-0.732050807568877"
"0","3.46410161513775","0","2.82842712474619","-2.44948974278318","-2","0.317837245195782"
"3.46410161513775","0","2.82842712474619","0","2.44948974278318","2","0.317837245195782"
"0","2.82842712474619","0","2","-2","-1.41421356237309","0.414213562373095"
"2.82842712474619","0","2","0","2","1.41421356237309","0.414213562373095"
"0","2","0","2","-1.41421356237309","-1.41421356237309","0"
"2","0","2","0","1.41421356237309","1.41421356237309","0"
"0","2","0","2.82842712474619","-1.41421356237309","-2","-0.414213562373095"
"Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds"
"4.89897948556636","2","2","0","0.384778830449264","0","0.784380520467783"
"2","2","0","2","0","0","0"
"2","0","2","3.46410161513775","0","0","-0.0669415852534816"
"0","2","3.46410161513775","0","0","0.784380520467783","0"
"2","3.46410161513775","0","4.47213595499958","0","-1.49716843785298","0"
"3.46410161513775","0","4.47213595499958","4.89897948556636","0.784380520467783","0","-1.28839769039869"
"0","4.47213595499958","4.89897948556636","2","-1.49716843785298","0.384778830449264","0"
"4.47213595499958","4.89897948556636","2","0","0","0","2.02044849796757"
"4.89897948556636","2","0","3.46410161513775","0.384778830449264","-0.784380520467783","0.0523297128989051"
"2","0","3.46410161513775","6","0","-0.128041722020712","-2.06694158525348"
"0","3.46410161513775","6","3.46410161513775","-0.784380520467783","0.128041722020712","-1.3348907776846"
"3.46410161513775","6","3.46410161513775","2.82842712474619","-0.128041722020712","0","0"
"6","3.46410161513775","2.82842712474619","3.46410161513775","0.128041722020712","0","0"
"3.46410161513775","2.82842712474619","3.46410161513775","0","0","0.784380520467783","0"
"2.82842712474619","3.46410161513775","0","2.82842712474619","0","-0.334890777684605","0.0669415852534816"
"3.46410161513775","0","2.82842712474619","4","0.784380520467783","0","-0.0170535324888221"
"0","2.82842712474619","4","0","-0.334890777684605","1.16331790243079","0"
"2.82842712474619","4","0","0","0","0","1.7491043400577"
"4","0","0","0","1.16331790243079","0","0.334890777684604"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2.82842712474619","0","-0.334890777684605","0"
"0","0","2.82842712474619","0","0","0.334890777684605","0"
"0","2.82842712474619","0","0","-0.334890777684605","0","0"
"2.82842712474619","0","0","2.82842712474619","0.334890777684605","-0.334890777684605","0"
"0","0","2.82842712474619","3.46410161513775","0","0","-1.48115514762658"
"0","2.82842712474619","3.46410161513775","6.6332495807108","-0.334890777684605","-0.575816794724856","-1.96935281323578"
"2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","0","0","-0.741319175597821"
"3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","-0.575816794724856","0","0"
"6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","0","0","0.741319175597821"
"4.47213595499958","3.46410161513775","2.82842712474619","4","0","0","0"
"3.46410161513775","2.82842712474619","4","2.82842712474619","0","0","0"
"2.82842712474619","4","2.82842712474619","0","0","0.334890777684605","0.334890777684604"
"4","2.82842712474619","0","2","0","0","0.7491043400577"
"2.82842712474619","0","2","2.82842712474619","0.334890777684605","0","0"
"0","2","2.82842712474619","0","0","0.334890777684605","0"
"2","2.82842712474619","0","2","0","0","0"
"2.82842712474619","0","2","3.46410161513775","0.334890777684605","0","0"
"0","2","3.46410161513775","0","0","0.784380520467783","0"
"2","3.46410161513775","0","2","0","0","0.0669415852534816"
"3.46410161513775","0","2","4.89897948556636","0.784380520467783","-0.384778830449264","-0.0523297128989051"
"0","2","4.89897948556636","2.82842712474619","0","0","-1.19859408284088"
"2","4.89897948556636","2.82842712474619","0","-0.384778830449264","0.334890777684605","0.370166958094687"
"4.89897948556636","2.82842712474619","0","4.47213595499958","0","-1.49716843785298","0"
"2.82842712474619","0","4.47213595499958","6.32455532033676","0.334890777684605","0","-2.31902285297968"
