"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"5.09524105384777","2.41421356237309","2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","5.3099862821424","2.41421356237309","4.34606521495123","4.02029641883961","5.3099862821424","3.34606521495123","6.99634675482412","4.86370330515627","2.93185165257814","3.70245917364383","1.41421356237309","1.41421356237309","2.93185165257814","2.93185165257814","7.43365605645958","5.95214807141775","5.46183408929698","5.91591104511247","6.12075271189487","8.38632182262405","4.69116617372088","2","4.14626436994197","9.46519287045694","8.04528073915317","10.258050778537","4.73136897548408","9.6247537165168","12.9424098344642","10.1513117070599","16.3297271048455"
"2.41421356237309","2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","3.41421356237309","2.41421356237309","3.34606521495123","6.91606913860891","2.41421356237309","6.99634675482412","4.86370330515627","3.34606521495123","5.22009726384887","1.41421356237309","1.41421356237309","2.93185165257814","1.41421356237309","4.86370330515627","8.10788726034796","4.86370330515627","4.12132034355964","7.25642479084981","6.65427101505518","5.80518299253986","4.69116617372088","3.07313218497099","4.43915758875542","9.17229965164348","8.04528073915317","8.81016441865236","5.4901880205866","9.6247537165168","11.9185995710022","10.6878777995454","15.9851934474545"
"2.41421356237309","1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","2.41421356237309","4.34606521495123","4.02029641883961","5.3099862821424","3.34606521495123","6.99634675482412","4.86370330515627","2.93185165257814","3.70245917364383","1.41421356237309","1.41421356237309","2.93185165257814","2.93185165257814","7.43365605645958","5.95214807141775","5.22009726384887","4.78023896615753","6.59750616825191","7.31318963765306","5.51228977372641","3.61803398874989","3.07313218497099","7.329520791502","7.8999704376468","8.04528073915317","9.06898346375488","4.73136897548408","10.7688765221522","12.1016122728945","10.9603287014348","16.3072548502721"
"1","2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","2.41421356237309","3.34606521495123","6.91606913860891","2.41421356237309","6.99634675482412","4.86370330515627","3.34606521495123","5.22009726384887","1.41421356237309","1.41421356237309","2.93185165257814","1.41421356237309","4.86370330515627","8.10788726034796","4.86370330515627","5.22009726384887","4.07313218497098","6.59750616825192","8.38632182262405","6.05719157750532","2","3.07313218497099","9.17229965164348","7.1303237624763","7.54528073915317","10.2131062693902","3.58724616984871","11.5276955672547","12.5570758766761","10.6878777995454","16.4366643728234"
"2.41421356237309","3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","4.34606521495123","4.02029641883961","5.3099862821424","3.34606521495123","6.99634675482412","4.86370330515627","2.93185165257814","3.70245917364383","1.41421356237309","1.41421356237309","2.93185165257814","2.93185165257814","7.43365605645958","5.95214807141775","5.22009726384887","2.93185165257814","5.91591104511247","6.12075271189487","8.38632182262405","4.69116617372088","2","4.14626436994197","9.46519287045694","5.76429835869187","8.51120656544223","9.24718044310118","4.34606521495123","10.7688765221522","12.5570758766761","10.6878777995454","16.4366643728234"
"3.73205080756888","1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.34606521495123","6.91606913860891","2.41421356237309","6.99634675482412","4.86370330515627","3.34606521495123","5.22009726384887","1.41421356237309","1.41421356237309","2.93185165257814","1.41421356237309","4.86370330515627","8.10788726034796","4.86370330515627","5.22009726384887","2.41421356237309","7.25642479084981","6.65427101505518","5.80518299253986","4.69116617372088","3.07313218497099","4.43915758875542","9.17229965164348","5.39827295490743","9.83634733537868","7.42203967316473","5.3119910412403","10.3029506958631","12.2035224860829","11.0414311901387","16.4366643728234"
"1","4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","4.02029641883961","5.3099862821424","3.34606521495123","6.99634675482412","4.86370330515627","2.93185165257814","3.70245917364383","1.41421356237309","1.41421356237309","2.93185165257814","2.93185165257814","7.43365605645958","5.95214807141775","5.22009726384887","2.93185165257814","3.93185165257814","6.59750616825191","7.31318963765306","5.51228977372641","3.61803398874989","3.07313218497099","7.329520791502","7.8999704376468","4.85337115112852","9.83634733537868","6.45611384687567","7.35578646199447","9.01797432021145","11.5205097841906","11.5779972826242","16.3331109822301"
"4.68555772028297","5.09524105384777","2.41421356237309","1","3.73205080756888","6.16227766016838","3.73205080756888","3.14626436994197","3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","1","6.91606913860891","2.41421356237309","6.99634675482412","4.86370330515627","3.34606521495123","5.22009726384887","1.41421356237309","1.41421356237309","2.93185165257814","1.41421356237309","4.86370330515627","8.10788726034796","4.86370330515627","5.22009726384887","2.41421356237309","2.93185165257814","6.59750616825192","8.38632182262405","6.05719157750532","2","3.07313218497099","9.17229965164348","7.1303237624763","3.78023896615753","10.5951663804812","5.69729480177315","8.65882789022773","7.71493289197819","11.5205097841906","11.5779972826242","16.3331109822301"
